rank,name,net__worth,age,source,country,industry,sex,citizenship,marital _status,education,college/_university,empire,source_1,source_2,source_3
89,Harold Hamm,18.5,77.0,Oil & gas,United States,Energy,Male,United States,Divorced,Diploma,High School,Self Made,Oil & gas,,
90,Gennady Timchenko,18.5,70.0,"Oil, gas",Russia,Energy,Male,Russia,Married,Master of Science in Engineering,Leningrad Mechanical Institute,Self Made,Oil, gas,
91,Dilip Shanghvi,18.5,67.0,Pharmaceuticals,India,Healthcare,Male,India,Married,Bachelor of Arts/Science,Calcutta University,Self Made,Pharmaceuticals,,
92,David Tepper,18.5,65.0,Hedge funds,United States,Finance & Investments,Male,United States,Married,Master of Business Administration,David A. Tepper School of Business,Self Made,Hedge funds,,
93,Wang Chuanfu,18.0,57.0,"Batteries, automobiles",China,Automotive,Male,China,Married,Master of Science,Beijing Non-Ferrous Research Institute,Self Made,Batteries, automobiles,
94,Theo Albrecht Jr,17.9,72.0,"Aldi, Trader Joe's",Germany,Fashion & Retail,Male,Germany,no data,no data,no data,no data,Aldi, Trader Joe's,
95,Stefan Persson,17.9,75.0,H&M,Sweden,Fashion & Retail,Male,Sweden,Married,Associate in Arts/Science,University of Stockholm,no data,H&M,,
96,Li Eric,17.6,60.0,Automobiles,China,Automotive,Male,China,Married,Master of Science,Yanshan University,Self Made,Automobiles,,
97,Vicky Safra,17.5,70.0,Banking,Brazil,Finance & Investments,Female,Brazil,Widowed,no data,no data,no data,Banking,,
98,Steve Cohen,17.5,67.0,Hedge funds,United States,Finance & Investments,Male,United States,Married,Bachelor of Arts/Science,The Wharton School,Self Made,Hedge funds,,
99,Donald Bren,17.4,91.0,Real estate,United States,Real Estate,Male,United States,Married,Bachelor of Arts/Science,University of Washington,Self Made,Real estate,,
100,Rupert Murdoch,17.3,92.0,"Newspapers, TV network",United States,Media & Entertainment,Male,United States,Married,Bachelor of Arts/Science,Oxford University,no data,Newspapers, TV network,
101,Beate Heister,17.1,71.0,Supermarkets,Germany,Fashion & Retail,Female,Germany,no data,no data,no data,no data,Supermarkets,,
101,Karl Albrecht Jr,17.1,75.0,Supermarkets,Germany,Fashion & Retail,Male,Germany,no data,no data,no data,no data,Supermarkets,,
103,Eduardo Saverin,17.0,41.0,Facebook,Brazil,Technology,Male,Brazil,Married,Bachelor of Arts/Science,Harvard University,Self Made,Facebook,,
104,Renata Kellnerova,16.7,56.0,"Finance, telecommunications",Czech Republic,Finance & Investments,Female,Czech Republic,Widowed,no data,no data,no data,Finance, telecommunications,
105,Qin Yinglin,16.3,58.0,Pig breeding,China,Food & Beverage,Male,China,Married,no data,no data,Self Made,Pig breeding,,
106,Lakshmi Mittal,16.1,73.0,Steel,India,Metals & Mining,Male,India,Married,Bachelor of Arts/Science,St Xavier's College Calcutta,no data,Steel,,
107,Michael Platt,16.0,55.0,Hedge funds,United Kingdom,Finance & Investments,Male,United Kingdom,no data,Bachelor of Arts/Science,London School of Economics,Self Made,Hedge funds,,
108,Diane Hendricks,15.8,76.0,Building supplies,United States,Construction & Engineering,Female,United States,Widowed,Diploma,High School,Self Made,Building supplies,,
109,Leonard Lauder,15.8,90.0,Estee Lauder,United States,Fashion & Retail,Male,United States,"Widowed, Remarried",Bachelor of Arts/Science,University of Pennsylvania,no data,Estee Lauder,,
110,Radhakishan Damani,15.7,68.0,"Retail, investments",India,Fashion & Retail,Male,India,Married,no data,no data,Self Made,Retail, investments,
111,David Green,15.5,81.0,Retail,United States,Fashion & Retail,Male,United States,Married,Diploma,High School,Self Made,Retail,,
112,Harry Triguboff,15.5,90.0,Real estate,Australia,Real Estate,Male,Australia,Married,Bachelor of Arts/Science,University of Leeds,Self Made,Real estate,,
113,Kumar Birla,15.5,56.0,Commodities,India,Diversified,Male,India,Married,Master of Business Administration,London Business School,no data,Commodities,,
114,Wang Wenyin,15.1,55.0,"Mining, copper products",China,Metals & Mining,Male,China,no data,no data,no data,Self Made,Mining, copper products,
115,Huang Shilin,15.0,56.0,Batteries,China,Automotive,Male,China,no data,Bachelor of Technology,Hefei University of Technology,Self Made,Batteries,,
116,Jorge Paulo Lemann,14.8,83.0,Beer,Brazil,Food & Beverage,Male,Brazil,Married,Bachelor of Arts/Science,Harvard University,Self Made,Beer,,
117,Lui Che Woo,14.5,94.0,Casinos/hotels,Hong Kong,Gambling & Casinos,Male,Hong Kong,Married,no data,no data,Self Made,Casinos/hotels,,
118,Alisher Usmanov,14.4,69.0,"Steel, telecom, investments",Russia,Metals & Mining,Male,Russia,Divorced,Master,Finance Academy under the Government of the Russian Federation,Self Made,Steel, telecom, investments
119,Jan Koum,14.3,47.0,WhatsApp,United States,Technology,Male,United States,Single,Drop Out,San Jose State University,Self Made,WhatsApp,,
120,Dhanin Chearavanont,14.3,84.0,Diversified,Thailand,Diversified,Male,Thailand,Widowed,no data,no data,no data,Diversified,,
121,Charlene de Carvalho-Heineken,14.0,69.0,Heineken,Netherlands,Food & Beverage,Female,Netherlands,Married,Bachelor of Arts/Science,Rijnlands Lyceum Wassenaar,no data,Heineken,,
122,Ricardo Salinas Pliego,13.9,67.0,"Retail, media",Mexico,Fashion & Retail,Male,Mexico,Married,Master of Business Administration,A. B. Freeman School of Business,no data,Retail, media,
123,Li Xiting,13.9,72.0,medical devices,Singapore,Healthcare,Male,Singapore,no data,Bachelor of Science,University of Science and Technology of China,Self Made,medical devices,,
124,George Kaiser,13.8,81.0,"Oil & gas, banking",United States,Energy,Male,United States,Married,Bachelor of Arts/Science,Harvard University,no data,Oil & gas, banking,
125,Peter Woo,13.6,76.0,Real estate,Hong Kong,Real Estate,Male,Hong Kong,Married,Master of Business Administration,Columbia Business School,no data,Real estate,,
126,Idan Ofer,13.5,67.0,Shipping,Israel,Diversified,Male,Israel,Married,no data,no data,no data,Shipping,,
127,John Fredriksen,13.5,78.0,Shipping,Cyprus,Logistics,Male,Cyprus,Widowed,no data,no data,Self Made,Shipping,,
128,Jerry Jones,13.4,80.0,Dallas Cowboys,United States,Sports,Male,United States,Married,Bachelor of Arts/Science,University of Arkansas,Self Made,Dallas Cowboys,,
129,Laurene Powell Jobs,13.4,59.0,"Apple, Disney",United States,Technology,Female,United States,Widowed,Master of Business Administration,Stanford Graduate School of Business,no data,Apple, Disney,
130,Uday Kotak,13.4,64.0,Banking,India,Finance & Investments,Male,India,Married,Bachelor of Arts/Science,University of Mumbai,Self Made,Banking,,
131,Joseph Lau,13.2,72.0,Real estate,Hong Kong,Real Estate,Male,Hong Kong,Divorced,no data,no data,Self Made,Real estate,,
132,Dustin Moskovitz,13.0,39.0,Facebook,United States,Technology,Male,United States,Married,Drop Out,Harvard University,Self Made,Facebook,,
133,Vinod Adani,13.0,74.0,"Infrastructure, commodities",Cyprus,Diversified,Male,Cyprus,Married,no data,no data,Self Made,Infrastructure, commodities,
134,Kwong Siu-hing,12.9,93.0,Real estate,Hong Kong,Real Estate,Female,Hong Kong,Widowed,no data,no data,no data,Real estate,,
135,Stanley Kroenke,12.9,76.0,"Sports, real estate",United States,Sports,Male,United States,Married,Master of Business Administration,Sr. College of Business,Self Made,Sports, real estate,
136,Goh Cheng Liang,12.8,96.0,Paints,Singapore,Manufacturing,Male,Singapore,Widowed,no data,no data,Self Made,Paints,,
137,Mikhail Fridman,12.6,59.0,"Oil, banking, telecom",Russia,Energy,Male,Russia,Divorced,Master of Science,Moscow Institute of Steel and Alloys,Self Made,Oil, banking, telecom
138,David Duffield,12.6,82.0,Business software,United States,Technology,Male,United States,Married,Bachelor of Engineering,Cornell University,Self Made,Business software,,
139,Mike Cannon-Brookes,12.6,43.0,Software,Australia,Technology,Male,Australia,Married,Bachelor of Arts/Science,University of New South Wales,Self Made,Software,,
140,Lu Xiangyang,12.5,60.0,"Automobiles, batteries",China,Automotive,Male,China,Married,no data,no data,Self Made,Automobiles, batteries,
141,Wei Jianjun,12.4,59.0,Automobiles,China,Automotive,Male,China,Married,Bachelor of Arts/Science,Hebei Province,Self Made,Automobiles,,
142,Charoen Sirivadhanabhakdi,12.4,79.0,"Alcohol, real estate",Thailand,Food & Beverage,Male,Thailand,Widowed,no data,no data,Self Made,Alcohol, real estate,
143,Scott Farquhar,12.3,43.0,Software,Australia,Technology,Male,Australia,Married,Bachelor of Arts/Science,University of New South Wales,Self Made,Software,,
