rank,name,net__worth,age,source,country,industry,sex,citizenship,marital _status,education,college/_university,empire,source_1,source_2,source_3
2225,Wang Junmin,1.3,54.0,Pharmaceuticals,China,Healthcare,Male,China,Married,no data,no data,Self Made,Pharmaceuticals,,
2226,Robert Toennies,1.3,45.0,Meat processing,Germany,Food & Beverage,Male,Germany,no data,no data,no data,no data,Meat processing,,
2226,Clemens Toennies,1.3,67.0,Meat processing,Germany,Food & Beverage,Male,Germany,no data,no data,no data,Self Made,Meat processing,,
2228,Martin Moller Nielsen,1.3,59.0,Aircraft leasing,Denmark,Logistics,Male,Denmark,Single,no data,no data,Self Made,Aircraft leasing,,
2229,Scott Lin,1.3,90.0,Optical components,Taiwan,Technology,Male,Taiwan,Married,Bachelor of Arts/Science,National Chung Hsing University,Self Made,Optical components,,
2230,Richard Chang,1.3,76.0,"Real estate, electronics",Taiwan,Real Estate,Male,Taiwan,no data,no data,no data,Self Made,Real estate, electronics,
2231,Yuequn Tao,1.3,63.0,Contact Lens,China,Fashion & Retail,Male,China,no data,no data,no data,Self Made,Contact Lens,,
2232,Kazuo Okada,1.3,80.0,casinos,Japan,Gambling & Casinos,Male,Japan,Married,no data,no data,Self Made,casinos,,
2233,Pawan Munjal,1.3,68.0,Two wheelers,India,Automotive,Male,India,Married,no data,no data,no data,Two wheelers,,
2234,Neide Helena de Moraes,1.3,68.0,Diversified,Brazil,Diversified,Female,Brazil,Married,Bachelor of Arts/Science,Universidade Presbiteriana Mackenzie,no data,Diversified,,
2235,Jose Roberto Ermirio de Moraes,1.3,65.0,Diversified,Brazil,Diversified,Male,Brazil,Married,no data,no data,no data,Diversified,,
2235,Jose Ermirio de Moraes Neto,1.3,71.0,Diversified,Brazil,Diversified,Male,Brazil,Married,Master of Business Administration,Fundacao Getulio Vargas,no data,Diversified,,
2237,Kiki Barki,1.3,83.0,Coal,Indonesia,Energy,Male,Indonesia,Married,Bachelor of Science in Engineering,Beijing University,Self Made,Coal,,
2238,Konstantin Strukov,1.3,64.0,"Gold, coal mining",Russia,Metals & Mining,Male,Russia,Married,Master of Science,Magnitogorsk MiningÂ and Metallurgical Institute,Self Made,Gold, coal mining,
2239,George Pedersen,1.3,87.0,Defense contractor,United States,Manufacturing,Male,United States,Married,no data,no data,Self Made,Defense contractor,,
2240,Zhao Tongtong,1.3,56.0,Hotels,Canada,Service,Female,Canada,no data,Master of Business Administration,McGill Univeristy,Self Made,Hotels,,
2241,Li Jinyang,1.3,66.0,Mining ,China,Metals & Mining,Female,China,Widowed,no data,no data,no data,Mining ,,
2242,Aydin Dogan,1.3,87.0,Media,Turkey,Media & Entertainment,Male,Turkey,Married,no data,no data,Self Made,Media,,
2243,Joseph Bae,1.3,51.0,Private equity,United States,Finance & Investments,Male,United States,Married,Bachelor of Arts/Economics,Harvard University,Self Made,Private equity,,
2244,Yasseen Mansour,1.3,62.0,Diversified ,Egypt,Diversified,Male,Egypt,Married,Bachelor of Arts/Science,George Washington University,Self Made,Diversified ,,
2245,Liu Gexin,1.3,72.0,Pharmaceuticals,China,Healthcare,Male,China,Married,Medical Doctor,Chongqing Universtiy,Self Made,Pharmaceuticals,,
2246,Lu Zhongfang,1.3,80.0,Education,China,Automotive,Female,China,no data,no data,ChinaCitizenshipChina,Self Made,Education,,
2247,Fengluan Li,1.3,61.0,"Steel, diversified",China,Diversified,Female,China,Married,Associate in Arts/Science,Henan Normal University,Self Made,Steel, diversified,
2248,Carmen Daurella Aguilera,1.3,66.0,Coca-Cola bottler,Spain,Food & Beverage,Female,Spain,Separated,no data,no data,no data,Coca-Cola bottler,,
2249,John Oyler,1.3,55.0,Biotech,United States,Healthcare,Male,United States,Married,Bachelor of Arts/Science,Massachusetts Institute of Technology,Self Made,Biotech,,
2250,Seifeddin Rustamov,1.3,61.0,Chemicals,Russia,Manufacturing,Male,Russia,Married,no data,no data,Self Made,Chemicals,,
2251,Joop van den Ende,1.3,81.0,TV shows,Netherlands,Media & Entertainment,Male,Netherlands,Married,no data,no data,Self Made,TV shows,,
2252,Nguyen Dang Quang,1.3,59.0,"Consumer products, banking",Vietnam,Food & Beverage,Male,Vietnam,Married,no data,no data,Self Made,Consumer products, banking,
2253,Tony Tan Caktiong,1.3,70.0,Food,Philippines,Food & Beverage,Male,Philippines,Married,no data,no data,Self Made,Food,,
2254,Drorit Wertheim,1.3,67.0,Coca Cola Israel,Israel,Food & Beverage,Female,Israel,Divorced,no data,no data,no data,Coca Cola Israel,,
2255,Wenbo Xiang,1.3,61.0,Manufacturing,China,Manufacturing,Male,China,Married,Master of Science,Dalian University of Technology,Self Made,Manufacturing,,
2256,Gabriella Meister,1.2,66.0,Appliances,Germany,Manufacturing,Female,Germany,Widowed,no data,no data,no data,Appliances,,
2257,Christine Knauf,1.2,66.0,Building materials,Germany,Manufacturing,Female,Germany,no data,no data,no data,no data,Building materials,,
2257,Karl Knauf,1.2,66.0,Building materials,Germany,Manufacturing,Male,Germany,no data,no data,no data,no data,Building materials,,
2259,Prachak Tangkaravakoon,1.2,79.0,Paints,Thailand,Manufacturing,Male,Thailand,Married,no data,no data,Self Made,Paints,,
2260,Ke Zunhong,1.2,69.0,Pharmaceuticals,China,Healthcare,Male,China,Married,no data,no data,Self Made,Pharmaceuticals,,
2261,Lee Su-jin,1.2,45.0,Hospitality,South Korea,Technology,Male,South Korea,Married,no data,no data,Self Made,Hospitality,,
2262,Richard Saghian,1.2,42.0,Fast fashion,United States,Fashion & Retail,Male,United States,Single,Drop Out,California State University Northridge,Self Made,Fast fashion,,
2263,Ulrike Meister,1.2,56.0,Appliances,Germany,Manufacturing,Female,Germany,no data,no data,no data,no data,Appliances,,
2264,Zsolt Felcsuti,1.2,52.0,Manufacturing,Hungary,Manufacturing,Male,Hungary,Married,no data,no data,Self Made,Manufacturing,,
2265,Mathias Doepfner,1.2,60.0,Media,Germany,Media & Entertainment,Male,Germany,no data,no data,no data,no data,Media,,
2266,Friederike Braun-Luedicke,1.2,39.0,Medical technology,Germany,Healthcare,Female,Germany,no data,no data,no data,no data,Medical technology,,
2266,Eva Maria Braun-Luedicke,1.2,36.0,Medical technology,Germany,Healthcare,Female,Germany,no data,no data,no data,no data,Medical technology,,
2266,Bernhard Braun-Luedicke,1.2,46.0,Medical technology,Germany,Healthcare,Male,Germany,no data,no data,no data,no data,Medical technology,,
2269,Guy LalibertÃ©,1.2,63.0,Cirque du Soleil,Canada,Media & Entertainment,Male,Canada,In Relationship,no data,no data,Self Made,Cirque du Soleil,,
2270,Mao Zhongwu,1.2,61.0,Manufacturing,China,Manufacturing,Male,China,Married,Bachelor of Arts/Science,National University of Singapore,Self Made,Manufacturing,,
2271,Kenzo Tsujimoto,1.2,82.0,video games ,Japan,Media & Entertainment,Male,Japan,Married,no data,no data,Self Made,video games ,,
2272,Thomas Sandell,1.2,62.0,Hedge funds,Sweden,Finance & Investments,Male,Sweden,Married,Master of Business Administration,Columbia Business School,Self Made,Hedge funds,,
2273,Peter Kelly,1.2,66.0,I.T.,United Kingdom,Technology,Male,United Kingdom,Married,no data,no data,Self Made,I.T.,,
2274,Murdaya Poo,1.2,82.0,Diversified,Indonesia,Diversified,Male,Indonesia,Married,no data,no data,no data,Diversified,,
2275,Richard Desmond,1.2,71.0,Publishing,United Kingdom,Media & Entertainment,Male,United Kingdom,Married,no data,no data,Self Made,Publishing,,
2276,Fred Ehrsam,1.2,35.0,cryptocurrency exchange,United States,Finance & Investments,Male,United States,no data,Bachelor of Science,Duke Univeristy,Self Made,cryptocurrency exchange,,
2277,Randal Nardone,1.2,68.0,"Investments, energy",United States,Finance & Investments,Male,United States,Married,Doctor of Jurisprudence,Boston University,Self Made,Investments, energy,
2278,Xu Shaochun,1.2,60.0,Software,China,Technology,Male,China,no data,EMBA,China Europe International Business School,Self Made,Software,,
2279,Hugo Ribeiro,1.2,66.0,Agribusiness,Brazil,Food & Beverage,Male,Brazil,Married,no data,no data,no data,Agribusiness,,
2280,Junjin Wang,1.2,54.0,Airline,China,Service,Male,China,no data,no data,no data,Self Made,Airline,,
2281,Vadim Yakunin,1.2,60.0,Pharmacy,Russia,Healthcare,Male,Russia,Married,Ph.D,Moscow Institute of Physics and Technology,Self Made,Pharmacy,,
2282,Gan Zhongru,1.2,75.0,Pharmaceuticals,China,Healthcare,Male,China,no data,Ph.D,Michigan State University,Self Made,Pharmaceuticals,,
2283,Liu Ming Chung,1.2,60.0,Paper,Brazil,Manufacturing,Male,Brazil,Married,no data,no data,Self Made,Paper,,
2284,Franziska Wuerbser,1.2,35.0,Kitchen appliances,Germany,Manufacturing,Female,Germany,Married,no data,no data,no data,Kitchen appliances,,
2285,Markus Persson,1.2,44.0,Computer games,Sweden,Media & Entertainment,Male,Sweden,Single,no data,no data,Self Made,Computer games,,
2286,Eduardo Costantini,1.2,76.0,Real estate,Argentina,Real Estate,Male,Argentina,Married,no data,no data,Self Made,Real estate,,
2287,Michael Heine,1.2,73.0,Financial services,Australia,Finance & Investments,Male,Australia,no data,no data,no data,Self Made,Financial services,,
2288,Anne Werninghaus,1.2,37.0,Industrial machinery,Brazil,Manufacturing,Female,Brazil,Married,no data,no data,no data,Industrial machinery,,
2289,Mehmet Aydinlar,1.2,67.0,Hospitals,Turkey,Healthcare,Male,Turkey,Married,no data,no data,Self Made,Hospitals,,
2290,Zhang Xin,1.2,57.0,Real estate,China,Real Estate,Female,China,Married,no data,no data,Self Made,Real estate,,
2291,Diao Zhizhong,1.2,59.0,Software,China,Technology,Male,China,no data,no data,no data,Self Made,Software,,
2292,Forrest Preston,1.2,90.0,Health care,United States,Healthcare,Male,United States,Widowed,no data,Oregon State University,Self Made,Health care,,
2293,Luc Tack,1.2,61.0,"Textile, chemicals",Belgium,Manufacturing,Male,Belgium,Married,no data,no data,Self Made,Textile, chemicals,
2294,Axel Oberwelland,1.2,56.0,Candy,Germany,Food & Beverage,Male,Germany,Married,no data,no data,no data,Candy,,
2295,Gary Tharaldson,1.2,77.0,Hotels,United States,Service,Male,United States,Married,no data,no data,Self Made,Hotels,,
2296,Marco Squinzi,1.2,51.0,Chemical products,Italy,Construction & Engineering,Male,Italy,no data,no data,no data,no data,Chemical products,,
2296,Veronica Squinzi,1.2,51.0,Chemical products,Italy,Construction & Engineering,Female,Italy,no data,Master of Business Administration,SDA Bocconi School of Management,no data,Chemical products,,
2298,Girdhari Jaisinghani,1.2,79.0,cables & wires,India,Manufacturing,Male,India,Married,no data,no data,no data,cables & wires,,
2299,Shuifu Wang,1.2,68.0,Manufacturing,China,Manufacturing,Male,China,Married,no data,no data,Self Made,Manufacturing,,
2300,Jinsheng Ren,1.2,60.0,Pharmaceutical,China,Healthcare,Male,China,no data,Master of Business Administration,Nanjing Normal University,Self Made,Pharmaceutical,,
2301,Weili Dai,1.2,61.0,Semiconductors,United States,Technology,Female,United States,Married,Bachelor of Arts/Science,University of California,Self Made,Semiconductors,,
2302,Lau Cho Kun,1.2,87.0,"Palm oil, property",Malaysia,Diversified,Male,Malaysia,Married,no data,no data,no data,Palm oil, property,
2303,Frederic Luddy,1.2,68.0,Software,United States,Technology,Male,United States,Single,Drop Out,Indiana University,Self Made,Software,,
2304,Li Yongqing,1.2,59.0,Petro Firbe,China,Manufacturing,Male,China,no data,no data,no data,Self Made,Petro Firbe,,
2305,Xiuguo Tang,1.2,59.0,Manufacturing,China,Manufacturing,Male,China,Married,Bachelor of Arts/Science,Central South University,Self Made,Manufacturing,,
2306,Dan Gertler,1.2,49.0,Mining,Israel,Metals & Mining,Male,Israel,Married,Diploma,High School,no data,Mining,,
2307,Horst Wortmann,1.2,82.0,Footwear,Germany,Fashion & Retail,Male,Germany,Married,no data,no data,Self Made,Footwear,,
2308,Edir Macedo,1.2,78.0,broadcasting,Brazil,Media & Entertainment,Male,Brazil,Married,no data,no data,Self Made,broadcasting,,
2309,Benoit Dageville,1.2,57.0,Software,United States,Technology,Male,United States,Married,Bachelor of Science,UniversitÃ© de Paris VI,Self Made,Software,,
2310,Fang Hongbo,1.2,56.0,Home appliances,China,Manufacturing,Male,China,no data,no data,no data,Self Made,Home appliances,,
2311,Fahed Hariri,1.2,42.0,"Construction, investments",Lebanon,Construction & Engineering,Male,Lebanon,Married,no data,no data,no data,Construction, investments,
2312,Stephan Schnabel,1.2,48.0,Chemicals,Germany,Manufacturing,Male,Germany,no data,no data,no data,no data,Chemicals,,
2313,Jeff Tangney,1.2,51.0,Healthcare IT,United States,Healthcare,Male,United States,Married,Master of Business Administration,Stanford Graduate School of Business,Self Made,Healthcare IT,,
2314,Soegiarto Adikoesoemo,1.2,85.0,Chemicals,Indonesia,Logistics,Male,Indonesia,Married,Diploma,High School,Self Made,Chemicals,,
2315,Wang Minwen,1.2,59.0,Semiconductor,China,Technology,Male,China,no data,no data,no data,Self Made,Semiconductor,,
2316,Eugene Wu,1.2,78.0,Finance,Taiwan,Finance & Investments,Male,Taiwan,Married,no data,Waseda University,no data,Finance,,
2317,Suman Munjal,1.2,70.0,Motorcycles,India,Automotive,Male,India,Married,no data,no data,no data,Motorcycles,,
2318,Vitaly Orlov,1.2,58.0,Fisheries,Russia,Food & Beverage,Male,Russia,Married,Master of Science in Engineering,Murmansk Higher Marine Engineering School,Self Made,Fisheries,,
2319,Tope Awotona,1.2,42.0,Software,United States,Technology,Male,United States,Married,Bachelor of Business Administration,The University Of Georgia,Self Made,Software,,
2319,Ion Stoica,1.2,58.0,Data analytics,Romania,Technology,Male,Romania,no data,Ph.D,Carnegie Mellon University,Self Made,Data analytics,,
2319,Lawrence Golub,1.2,63.0,Private equity,United States,Finance & Investments,Male,United States,no data,Master of Business Administration,Harvard Business School,Self Made,Private equity,,
2319,Jimmy Rane,1.2,76.0,Lumber,United States,Manufacturing,Male,United States,Married,Bachelor of Arts/Science,Auburn University,Self Made,Lumber,,
2319,Matei Zaharia,1.2,38.0,Data analytics,Romania,Technology,Male,Romania,no data,Ph.D,University of California,Self Made,Data analytics,,
2324,Ulrich Mommert,1.2,82.0,Lighting,Austria,Automotive,Male,Austria,no data,no data,no data,Self Made,Lighting,,
2325,Michael Steinhardt,1.2,82.0,Hedge funds,United States,Finance & Investments,Male,United States,Married,no data,University of Pennsylvania,Self Made,Hedge funds,,
2326,Sara George Muthoot,1.2,63.0,financial services,India,Finance & Investments,Female,India,Widowed,Bachelor of Science,University of Kerala,no data,financial services,,
2326,George Alexander Muthoot,1.2,67.0,financial services,India,Finance & Investments,Male,India,Married,Chartered Accountant,Institute of Chartered Accountants of India,no data,financial services,,
2328,Renu Munjal,1.2,68.0,Two wheelers,India,Automotive,Female,India,Widowed,no data,no data,no data,Two wheelers,,
2329,Shirley Kao,1.2,66.0,Food & beverage retailing,Taiwan,Food & Beverage,Female,Taiwan,Married,Bachelor of Arts/Science,Marymount California University,no data,Food & beverage retailing,,
2330,Keiko Erikawa,1.2,74.0,Video games,Japan,Media & Entertainment,Female,Japan,Married,no data,no data,Self Made,Video games,,
2331,Yoichi Erikawa,1.2,72.0,Video games,Japan,Media & Entertainment,Male,Japan,Married,no data,no data,Self Made,Video games,,
2332,Yves-Loic Martin,1.2,57.0,Laboratory services,France,Healthcare,Male,France,no data,no data,no data,Self Made,Laboratory services,,
2333,Huang Guanlin,1.2,58.0,"Textiles, apparel",China,Fashion & Retail,Male,China,no data,Bachelor of Engineering,Zhejiang University of Technology,Self Made,Textiles, apparel,
2334,Sytse 'Sid' Sijbrandij,1.2,44.0,Software,Netherlands,Technology,Male,Netherlands,Married,Master of Science,University of Twente,Self Made,Software,,
2335,Thongma Vijitpongpun,1.2,66.0,Real estate,Thailand,Real Estate,Male,Thailand,Married,no data,no data,Self Made,Real estate,,
2336,Chua Thian Poh,1.2,75.0,Real estate,Singapore,Real Estate,Male,Singapore,Married,no data,no data,Self Made,Real estate,,
2337,Thomas von Koch,1.2,57.0,Asset management,Sweden,Finance & Investments,Male,Sweden,Married,no data,no data,Self Made,Asset management,,
2338,Jose Maria Aristrain,1.2,60.0,Steel,Spain,Metals & Mining,Male,Spain,Married,no data,no data,no data,Steel,,
2339,Huang Min,1.2,50.0,Machinery,China,Manufacturing,Male,China,no data,no data,no data,Self Made,Machinery,,
2340,Fei Song,1.2,56.0,Machinery,China,Manufacturing,Male,China,Married,no data,no data,Self Made,Machinery,,
2341,Orion Hindawi,1.2,43.0,Software,United States,Technology,Male,United States,Married,Drop Out,University of California,Self Made,Software,,
2342,Mustafa Kucuk,1.2,60.0,Fashion retail,Turkey,Fashion & Retail,Male,Turkey,Married,no data,no data,Self Made,Fashion retail,,
2343,Haryanto Tjiptodihardjo,1.2,60.0,Manufacturing,Indonesia,Manufacturing,Male,Indonesia,no data,no data,no data,no data,Manufacturing,,
2344,George Jacob Muthoot,1.2,70.0,financial services,India,Finance & Investments,Male,India,Married,Bachelor of Science in Engineering,Manipal University,no data,financial services,,
2344,George Thomas Muthoot,1.2,72.0,financial services,India,Finance & Investments,Male,India,Married,no data,no data,no data,financial services,,
2346,Sun Huaiqing,1.2,53.0,Cosmetics,China,Fashion & Retail,Male,China,Married,EMBA,Guanghua School of Management,Self Made,Cosmetics,,
2347,Richard Yuengling Jr,1.2,80.0,Beer,United States,Food & Beverage,Male,United States,Divorced,Drop Out,Lycoming College,no data,Beer,,
2348,Zhong Sheng Jian,1.2,65.0,Real estate,Singapore,Real Estate,Male,Singapore,Married,no data,no data,Self Made,Real estate,,
2349,Darwin Deason,1.2,83.0,Software,United States,Service,Male,United States,Divorced,Diploma,High School,Self Made,Software,,
2350,Wu Chung-yi,1.2,68.0,Manufacturing,Taiwan,Manufacturing,Male,Taiwan,no data,no data,University of California,no data,Manufacturing,,
2351,Carsten Koerl,1.2,58.0,Sports data,Germany,Sports,Male,Germany,Divorced,Master of Science,University for Applied Sciences in Konstanz,Self Made,Sports data,,
2352,Noubar Afeyan,1.2,61.0,Biotech,United States,Healthcare,Male,United States,Married,Ph.D,Massachusetts Institute of Technology,Self Made,Biotech,,
2353,Cai Jianyong,1.2,52.0,Nickel,China,Metals & Mining,Male,China,Married,no data,no data,Self Made,Nickel,,
2354,Ruben Vardanyan,1.2,55.0,Investment banking,Armenia,Finance & Investments,Male,Armenia,Married,Master of Science,Moscow State University,Self Made,Investment banking,,
2355,Lina Tombolato,1.2,76.0,Financial services,Italy,Finance & Investments,Female,Italy,Widowed,no data,no data,no data,Financial services,,
2356,Bernd Freier,1.2,66.0,Fashion retail,Germany,Fashion & Retail,Male,Germany,Married,no data,no data,Self Made,Fashion retail,,
2357,Kim Taek-jin,1.2,56.0,Online games,South Korea,Media & Entertainment,Male,South Korea,Married,Bachelor of Arts/Science,Seoul National University,Self Made,Online games,,
2358,Hamad bin Jassim bin Jaber Al Thani,1.2,63.0,Investments,Qatar,Finance & Investments,Male,Qatar,Married,no data,no data,no data,Investments,,
2359,Jiang Guiting,1.2,65.0,Manufacturing,China,Manufacturing,Male,China,Married,no data,no data,Self Made,Manufacturing,,
2360,Guan Yihong,1.2,66.0,Restaurant,China,Food & Beverage,Male,China,Married,no data,no data,Self Made,Restaurant,,
2361,Yan Jane,1.2,54.0,Software,China,Technology,Female,China,Married,Bachelor of Arts/Science,Fudan University,Self Made,Software,,
2362,Robert Fisher,1.2,70.0,Gap,United States,Fashion & Retail,Male,United States,Married,Bachelor of Arts/Science,Princeton University,no data,Gap,,
2363,Kostyantin Zhevago,1.2,49.0,Mining,Ukraine,Metals & Mining,Male,Ukraine,Married,Bachelor of Arts/Science,Kiev State Economic University,Self Made,Mining,,
2364,Heikki Herlin,1.2,36.0,"Elevators, escalators",Finland,Manufacturing,Male,Finland,Single,no data,no data,no data,Elevators, escalators,
2365,Thomas Bailey,1.2,86.0,Money management,United States,Finance & Investments,Male,United States,Divorced,Bachelor of Arts/Science,Michigan State University,Self Made,Money management,,
2366,Tony Xu,1.2,38.0,food delivery service,United States,Technology,Male,United States,Married,Master of Business Administration,Stanford Graduate School of Business,Self Made,food delivery service,,
2367,Mustafa Hamied,1.2,82.0,pharmaceuticals,India,Healthcare,Male,India,Married,no data,no data,no data,pharmaceuticals,,
2368,Michaela Herz,1.2,66.0,Coffee,Germany,Finance & Investments,Female,Germany,no data,no data,no data,no data,Coffee,,
2368,Christian Herz,1.2,66.0,Coffee,Germany,Finance & Investments,Male,Germany,no data,no data,no data,no data,Coffee,,
2370,Marina Caprotti,1.2,45.0,Supermarkets,Italy,Food & Beverage,Female,Italy,no data,no data,no data,no data,Supermarkets,,
2370,Giuliana Caprotti,1.2,82.0,Supermarkets,Italy,Food & Beverage,Female,Italy,Widowed,no data,no data,no data,Supermarkets,,
2372,Anant Asavabhokhin,1.2,73.0,Real estate,Thailand,Real Estate,Male,Thailand,Married,no data,no data,Self Made,Real estate,,
2373,Tadako Nakatani,1.2,66.0,Medical diagnostic equipment,Japan,Healthcare,Female,Japan,Widowed,no data,no data,no data,Medical diagnostic equipment,,
2374,Andrei Rappoport,1.2,60.0,Investments,Russia,Finance & Investments,Male,Russia,Married,Bachelor of Arts/Science,Donetsk National University,Self Made,Investments,,
2375,Xiong Wu,1.2,47.0,Software,China,Technology,Male,China,no data,no data,no data,Self Made,Software,,
2376,Jeffrey Lorberbaum,1.2,68.0,Flooring,United States,Manufacturing,Male,United States,Married,Bachelor of Arts/Science,University of Denver,no data,Flooring,,
2377,Fumio Kaneko,1.2,66.0,waste management,Japan,Service,Male,Japan,no data,no data,no data,Self Made,waste management,,
2378,Zhongyi Wu,1.2,49.0, electronics,China,Technology,Male,China,no data,Bachelor of Arts/Science,Shenzhen University,Self Made, electronics,,
2379,J. Wayne Weaver,1.2,87.0,Shoes,United States,Diversified,Male,United States,Married,Bachelor of Science,University of Florida,Self Made,Shoes,,
2380,Pradip Burman,1.2,80.0,Consumer goods,India,Food & Beverage,Male,India,Married,Bachelor of Engineering,Massachusetts Institute of Technology,no data,Consumer goods,,
2381,Jorge Mas,1.2,60.0,Construction,United States,Construction & Engineering,Male,United States,Married,Master of Business Administration,University of Miami,no data,Construction,,
2382,Mohammed Ibrahim,1.2,77.0,Communications,United Kingdom,Telecom,Male,United Kingdom,Married,Bachelor of Arts/Science,University of Alexandria,Self Made,Communications,,
2383,RÃ©al Plourde,1.2,66.0,Convenience stores,Canada,Fashion & Retail,Male,Canada,Married,no data,no data,Self Made,Convenience stores,,
2384,Adrian Paval,1.2,54.0,Retail,Romania,Fashion & Retail,Male,Romania,Married,no data,no data,Self Made,Retail,,
2385,Nobutada Saji,1.1,77.0,Beverages,Japan,Food & Beverage,Male,Japan,Married,Master of Business Administration,Anderson School of Management,no data,Beverages,,
2386,Yuan Liping,1.1,52.0,Pharmaceuticals,Canada,Healthcare,Female,Canada,Divorced,no data,no data,no data,Pharmaceuticals,,
2387,Manuel Lao HernÃ¡ndez,1.1,79.0,Casinos,Spain,Gambling & Casinos,Male,Spain,Married,no data,no data,Self Made,Casinos,,
2388,Ronald Clarke,1.1,68.0,payments technology,United States,Technology,Male,United States,Married,Bachelor of Arts/Science,Colby College,Self Made,payments technology,,
2389,Pongsak Viddayakorn,1.1,89.0,hospitals,Thailand,Healthcare,Male,Thailand,Married,Medical Doctor,Mahidol University,Self Made,hospitals,,
2390,Andrei Kosogov,1.1,62.0,Banking,Russia,Energy,Male,Russia,Married,Bachelor of Science in Engineering,Moscow Power Engineering Institute,Self Made,Banking,,
2391,Miao Yongjun,1.1,55.0,Clinical diagnostics,China,Healthcare,Male,China,no data,no data,no data,Self Made,Clinical diagnostics,,
2392,Paul Fireman,1.1,79.0,Reebok,United States,Fashion & Retail,Male,United States,Married,no data,no data,Self Made,Reebok,,
2393,Ding Shui Po,1.1,52.0,"Sneakers, sportswear",China,Fashion & Retail,Male,China,no data,no data,no data,no data,Sneakers, sportswear,
2394,Zhang Gongyun,1.1,60.0,Tyre manufacturing machinery,China,Manufacturing,Male,China,no data,no data,no data,Self Made,Tyre manufacturing machinery,,
2395,Michael McCain,1.1,64.0,packaged meats,Canada,Food & Beverage,Male,Canada,no data,no data,no data,no data,packaged meats,,
2396,Donald Friese,1.1,82.0,Manufacturing,United States,Manufacturing,Male,United States,Married,no data,no data,Self Made,Manufacturing,,
2397,Xu Jiangnan,1.1,61.0,Vitamins ,China,Healthcare,Male,China,Married,no data,no data,Self Made,Vitamins ,,
2398,Lloyd Blankfein,1.1,68.0,Banking,United States,Finance & Investments,Male,United States,Married,Bachelor of Arts/Science,Harvard University,Self Made,Banking,,
2399,Li Guoqing,1.1,53.0,Petro Fibre,China,Manufacturing,Male,China,no data,no data,no data,Self Made,Petro Fibre,,
2400,Hoi Kin Hong,1.1,70.0,Real estate,Macau,Real Estate,Male,Macau,Married,no data,no data,Self Made,Real estate,,
2401,Xu Yuejuan,1.1,61.0,Petro Fibre,China,Manufacturing,Female,China,Married,no data,no data,Self Made,Petro Fibre,,
2402,John Lim,1.1,67.0,real estate,Singapore,Real Estate,Male,Singapore,Married,no data,no data,Self Made,real estate,,
2403,Norma Lerner,1.1,87.0,Banking,United States,Finance & Investments,Female,United States,Widowed,no data,no data,no data,Banking,,
2404,Liang Qin,1.1,51.0,Semiconductor devices,China,Technology,Female,China,Married,no data,no data,Self Made,Semiconductor devices,,
2405,Chung Yong-jin,1.1,54.0,Retail,South Korea,Fashion & Retail,Male,South Korea,Married,Bachelor of Arts/Science,Brown University,no data,Retail,,
2406,Chen Xuehua,1.1,62.0,Minerals processing,China,Metals & Mining,Male,China,no data,no data,no data,Self Made,Minerals processing,,
2407,Guangwei Liang,1.1,59.0,Conglomerate,China,Manufacturing,Male,China,no data,no data,no data,Self Made,Conglomerate,,
2408,Pedro Grendene Bartelle,1.1,73.0,shoes,Brazil,Fashion & Retail,Male,Brazil,Married,no data,no data,Self Made,shoes,,
2409,Robert Langer,1.1,74.0,Biotech,United States,Healthcare,Male,United States,Married,Bachelor of Engineering,Cornell University,Self Made,Biotech,,
2410,Shalom Meckenzie,1.1,47.0,sports betting,Israel,Gambling & Casinos,Male,Israel,Married,Diploma,High School,Self Made,sports betting,,
2411,Farhad Ebrahimi,1.1,84.0,Solar panels,United States,Manufacturing,Male,United States,Married,no data,no data,Self Made,Solar panels,,
2412,Sam Tarascio,1.1,79.0,Real estate,Australia,Real Estate,Male,Australia,Married,no data,no data,Self Made,Real estate,,
2413,Nancy Lerner,1.1,63.0,"Banking, credit cards",United States,Finance & Investments,Female,United States,Married,Doctor of Jurisprudence,Cleveland State University,no data,Banking, credit cards,
2414,Sunil Vachani,1.1,54.0,electronics,India,Manufacturing,Male,India,Married,no data,no data,Self Made,electronics,,
2415,Sharon Azrieli,1.1,63.0,Real estate,Canada,Real Estate,Female,Canada,no data,no data,no data,no data,Real estate,,
2415,Danna Azrieli,1.1,56.0,Real estate,Israel,Real Estate,Female,Israel,no data,no data,no data,no data,Real estate,,
2415,Naomi Azrieli,1.1,57.0,Real estate,Canada,Real Estate,Female,Canada,no data,no data,no data,no data,Real estate,,
2418,Randolph Lerner,1.1,61.0,"Banking, credit cards",United States,Finance & Investments,Male,United States,Married,Bachelor of Arts/Science,Columbia University,no data,Banking, credit cards,
2419,Sara Blakely,1.1,52.0,Spanx,United States,Fashion & Retail,Female,United States,Married,Bachelor of Arts/Science,Florida State University,Self Made,Spanx,,
2420,Muhammed Aziz Khan,1.1,68.0,Power,Bangladesh,Energy,Male,Bangladesh,Married,Master of Business Administration,University of Dhaka,Self Made,Power,,
2421,Wanmao Xu,1.1,78.0,Education,China,Service,Male,China,no data,no data,ChinaCitizenshipChina,Self Made,Education,,
2422,Allan Wong,1.1,73.0,Electronics,Hong Kong,Manufacturing,Male,Hong Kong,Widowed,Bachelor of Science in Engineering,University of Hong Kong,Self Made,Electronics,,
